1.00419,0,5360,1.00419 +4e+06ns,,0
1.0093,5360,5896,1.0093 +4.125e+06ns,,0
1.01335,5896,6432,1.01335 +4.73438e+06ns,,0
1.02167,6432,6968,1.02167 +5.76758e+06ns,,0
1.02999,6968,7504,1.02999 +6.67163e+06ns,,0
1.03831,7504,8040,1.03831 +7.58768e+06ns,,0
1.04663,8040,8576,1.04663 +8.26422e+06ns,,0
1.05495,8576,9112,1.05495 +8.85619e+06ns,,0
1.06327,9112,9648,1.06327 +9.49916e+06ns,,0
1.07159,9648,10184,1.07159 +9.93677e+06ns,,0
1.07991,10184,10720,1.07991 +1.03197e+07ns,,0
1.08823,10720,11256,1.08823 +1.07797e+07ns,,0
1.09655,11256,11792,1.09655 +1.10572e+07ns,,0
1.10487,11792,12328,1.10487 +1.13001e+07ns,,0
1.11319,12328,12864,1.11319 +1.16376e+07ns,,0
1.12151,12864,13400,1.12151 +1.18079e+07ns,,0
1.12983,13400,13936,1.12983 +1.19569e+07ns,,0
1.13815,13936,14472,1.13815 +1.22123e+07ns,,1
1.1548,14472,1040,0,,1
1.1557,1040,1008,0,,1
1.15978,1008,1072,0,,1
1.15978,1072,1340,0,,1
1.16571,1340,1554,1.16571 +1.14357e+07ns,,0
1.17232,1554,1738,1.17232 +1.07563e+07ns,,0
1.18064,1738,1903,1.18064 +1.01617e+07ns,,0
1.18896,1903,2053,1.18896 +9.51653e+06ns,,0
1.19728,2053,2192,1.19728 +9.07696e+06ns,,0
1.2056,2192,2323,1.2056 +8.69234e+06ns,,0
1.21392,2323,2446,1.21392 +8.3558e+06ns,,0
1.22224,2446,2563,1.22224 +8.06132e+06ns,,0
1.23056,2563,2675,1.23056 +7.80366e+06ns,,0
1.23888,2675,2782,1.23888 +7.5782e+06ns,,0
1.2472,2782,2885,1.2472 +7.38092e+06ns,,0
1.25552,2885,2984,1.25552 +7.20831e+06ns,,0
1.26384,2984,3080,1.26384 +7.05727e+06ns,,0
1.27216,3080,3173,1.27216 +6.92511e+06ns,,0
1.28048,3173,3263,1.28048 +6.80947e+06ns,,0
1.2888,3263,3351,1.2888 +6.70829e+06ns,,0
1.29712,3351,3436,1.29712 +6.61975e+06ns,,0
1.30544,3436,3519,1.30544 +6.54228e+06ns,,0
1.31376,3519,3600,1.31376 +6.4745e+06ns,,0
1.32208,3600,3679,1.32208 +6.41518e+06ns,,0
1.3304,3679,3757,1.3304 +6.36329e+06ns,,0
1.33872,3757,3833,1.33872 +6.31788e+06ns,,0
1.34704,3833,3907,1.34704 +6.27814e+06ns,,0
1.35536,3907,3980,1.35536 +6.24337e+06ns,,0
1.36368,3980,4052,1.36368 +6.21295e+06ns,,0
1.372,4052,4122,1.372 +6.18633e+06ns,,0
1.38032,4122,4191,1.38032 +6.16304e+06ns,,0
1.38864,4191,4259,1.38864 +6.14266e+06ns,,0
1.39696,4259,4326,1.39696 +5.99983e+06ns,,0
1.42104,4326,1040,0,,1
1.42194,1040,1008,0,,1
1.42602,1008,1072,0,,1
1.42602,1072,1340,0,,1
1.43195,1340,1554,0,,1
1.63767,1554,1738,1.63767 +3.14354e+07ns,,0
1.64776,1738,1072,1.65777 +2.8631e+07ns,,0
1.6487,1072,1040,1.66374 +2.58021e+07ns,,0
1.65274,1040,1072,1.66972 +2.33269e+07ns,,0
1.65274,1072,1340,1.67475 +2.1786e+07ns,,0
1.65777,1340,1554,1.67978 +2.03128e+07ns,,0
1.66374,1554,1738,1.68481 +1.90237e+07ns,,0
1.66972,1738,1903,1.68669 +1.75207e+07ns,,0
1.67475,1903,2053,1.69078 +1.60806e+07ns,,0
1.67978,2053,2192,1.69267 +1.48205e+07ns,,0
1.68481,2192,2323,1.69676 +1.3718e+07ns,,0
1.68669,2323,2446,1.69864 +1.27532e+07ns,,0
